trajectory_id timestamp_ns q_x q_y q_z q_w x y z v_x v_y v_z
0 1403636579963555584.000000 0.587170332 0.567618959 0.399846849 -0.416127659 -0.018751182 -0.378828913 -0.013257969 -0.021786869 -0.011837154 -0.443668902
0 1403636580013555456.000000 0.590028617 0.568600000 0.396364474 -0.414071866 -0.020074464 -0.379627228 -0.036252268 -0.035072129 -0.018923942 -0.473940820
0 1403636580163555584.000000 0.594812408 0.569106915 0.390680525 -0.411927548 -0.023689382 -0.382762641 -0.105919592 -0.020377986 -0.023770332 -0.436806649
0 1403636580313555456.000000 0.596102814 0.574157079 0.387280972 -0.406224703 -0.026785254 -0.386957228 -0.164123386 -0.020007472 -0.041156046 -0.336163759
0 1403636580463555584.000000 0.602689090 0.584268047 0.374694016 -0.393701809 -0.029931128 -0.392934382 -0.206553638 -0.019724753 -0.029948948 -0.187937483
0 1403636580613555456.000000 0.609337151 0.591161216 0.361572735 -0.385359306 -0.032103099 -0.394487083 -0.201763928 -0.010382523 0.009519425 0.286150545
0 1403636580713555456.000000 0.607050887 0.590177982 0.365680685 -0.386596457 -0.032812290 -0.391945064 -0.159811139 0.002041459 0.041765396 0.535467625
0 1403636580863555584.000000 0.599474738 0.584740687 0.386063119 -0.386863883 -0.031261839 -0.382601172 -0.063001610 0.015022176 0.072700307 0.713445783
0 1403636581013555456.000000 0.591092728 0.577388201 0.404657652 -0.391770929 -0.031725027 -0.373538882 0.038119927 -0.013597775 0.049742784 0.603880405
0 1403636581163555584.000000 0.585899418 0.566539901 0.414139959 -0.405268426 -0.031022817 -0.366592169 0.117853083 0.024498919 0.034769490 0.445941746
1 1403636582163555584.000000 0.594726778 0.592262718 0.379737863 -0.389003923 -0.410339862 -1.934084058 0.093061373 -0.043706425 -0.038390119 -0.188802496
1 1403636582513555456.000000 0.587243957 0.589912580 0.385286851 -0.398373873 -0.421885192 -1.928431392 0.211989775 -0.010301028 0.044251196 0.674659491
1 1403636582663555584.000000 0.584607997 0.584255514 0.396908119 -0.399177788 -0.421601504 -1.922600746 0.315652370 0.012976420 0.026675755 0.687409461
1 1403636582813555456.000000 0.585943714 0.574311841 0.404836210 -0.403662600 -0.416830242 -1.916134119 0.417222768 0.053105108 0.054279894 0.670498669
